company,type,rec_details,job details,city,skills,details,job_link,posted_time,posted_date,experience in int,actively_hiring/hiring
AKKO,Regular,Recruiter DetailsAKKOAll Indiahidden_emailhidden_mobile,"Hey there! We're AKKO - a venture funded & fast-growing insurtech company with a passionate, solution-forward, and collaborative team focused on disrupting the device protection space.

Our mission is simple  Leveraging technology to make protecting people's tech easier and more affordable. Most people's lives have become tech-centric and AKKO provides customers with peace of mind that their tech is safe guarded in a transparent and seamless way. Backed by amazing investors such as Mundi, Fika, and Pear, we are just getting started!

We are seeking a Senior Data Analyst to focus on advancing analysis and reporting capabilities at AKKO. As part of a small team, the candidate will be responsible for the Whats (what needs to be tracked / reported on), the Hows (how will the data be collected and cleaned), and the Whys (why is the data showing particular behavior) of the analysis cycle. This role requires improvisation and coming up with elegant solutions on a daily basis. The candidate. will have the opportunity to implement their own ideas and work on AI/ML models.

THE DAY-TO-DAY
 Develop and execute the data strategy alongside executives to align with business goals and drive innovation
 Collaborate with cross-functional teams, including project managers, engineers, and executives, to define data needs, prioritize projects, and set clear objectives
 Conduct analysis to uncover trends, patterns, and opportunities for improving business performance and customer and partner experience
 Extract data from primary and secondary sources and removing corrupted data
 Identify key metrics and KPIs to track and monitor the success of various initiatives, providing regular updates and recommendations for improvement
 Build and maintain advanced statistical models and algorithms to generate predictive insights, forecasting business outcomes, and optimizing processes
 Continuously explore new data sources, techniques, and tools to enhance the quality and depth of data analysis
 Use data to analyze trends to help inform business policies and decisions
 Collaborate with engineers and developers to develop and streamline data governance strategies, ensuring data integrity, privacy, and compliance relevant regulations
 Implement quality assurance processes to validate data accuracy, consistency, and reliability, troubleshooting and resolving any issues that arise

WHAT MAKES YOU QUALIFIED
 3-5 years of experience working as a Senior Data Analyst or similar role (preferably with startup experience) with a track record of leading data-driven initiatives
 Bachelor's or Master's degree in a quantitative field such as Mathematics, Statistics, Computer Science, or related field
 Strong proficiency in SQL and data querying languages, with experience working with large and complex datasets
 Proficiency in data visualization tools (e.g., Tableau, Looker Studio) and statistical tools (e.g., R, Python)
 Experience with data governance, data quality management, and regulatory compliance
 Actuarial knowledge or experience is a plus
 All around team player, fast, and self-learning individual
 Proactive and solution-forward, bias for action
 Ability to drive forward work independently while communicating and working across functions
 Passion for data
 Experience working on high-scale, production-grade projects

NICE TO HAVES
 Experience working in the Insurtech space
 Experience working on AI/ML models

You will report to AKKO's Senior Data Analyst. The position disclosed is a contract position looking to be filled immediately. The contractor will be expected to commit to 40 hours of work per week (8 hours/day) and be available to work 9:00am-5:00pm EST.

This position is open to international applicants.

WHAT ELSE ARE WE LOOKING FOR 

Our team is fostered around our core values:
 Collaborate Work together to be more effective, lift up others, and win together
 Aim High Set ambitious goals
 Embrace Diversity Seek different perspectives, bring our true self to work
 Customer Love Serve the end user and listen to them
 Nurture Empathy Listen and strive to truly understand others
 Take Action Be proactive, be an owner, value speed
 Maintain Integrity Build the AKKO you are proud to work at
 Data Driven Use data to iterate, find truth
 CCPA disclosure notice at getakko.com/legal,",All India,"SQL,Data visualization,Statistical tools,R,Python,Data governance,Regulatory compliance,Data querying,Data quality management,Actuarial knowledge,AIML models",Recruiter DetailsAKKOAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/senior-data-analyst-permanent/akko/14536192,1 week ago,2024-03-30,"(3, 5)",hiring
Silverpeople,Regular,Recruiter DetailsSilverpeopleOther Karnatakahidden_emailhidden_mobile,"Data Analyst (L3/L4) | JC1129

Job Description:

Experience

3-5 Yrs Years

Category

Internet / Ecommerce

Location

Bangalore

Silverpeople, a venture by Uberlife Consulting Pvt. Ltd.,

offers complete recruitment solutions for all hiring/head hunting requirements in a Focused,

Accurate and Time bound manner (Proprietary FAT* Methodology). At Silverpeople, we focus,

specialize and are placed strongly in below 6 Industries: E-commerce, Fintech, Edutech, real estate,

Big Data Analytics, Digital transformation.,",Other Karnataka,Big Data Analytics,Recruiter DetailsSilverpeopleOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-l3l4-permanent/silverpeople/14595392,Hot1 day ago,2024-03-30,"(3, 5)",Actively hiring
RxLogix,Regular,Recruiter DetailsRxLogixNoidahidden_emailhidden_mobile,"Date: 27th March 2023

Job Status: Full Time

Essential Duties & Responsibilities
 Generate and distribute data in accurate and timely manner.
 Support functional teams with required data insights.
 Up-to-date current MIS Reports and improve reporting efficiency and consistency.
 Gather data from multiple sources and generating reports on periodic basis.
 Improve Reporting system for internal communication.
 Provide strong reporting and analytical information support to management team.
 Generate both periodic and ad hoc reports as needed.

Minimum Requirements
 MIS Reporting experience: 3 to 5 Years
 Hands on experience in Advance Excel and Macros.
 Data visualization and reporting expertise.
 Understands the data and can churn it into useful insights.
 Understanding on SharePoint and Google sheets
 Exposure on Jira and Power BI
 Excellent communication and interpersonal skills

Travel Expectations

0%,",Noida+1Other Uttar Pradesh,"MIS Reporting,Advance Excel,Macros,Data visualization,SharePoint,Google sheets,Jira,Power BI,Communication,Interpersonal skills",Recruiter DetailsRxLogixNoidahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/rxlogix/14603830,Hot2 days ago,2024-03-29,"(3, 5)",Actively hiring
New Venture Consultant,Regular,Recruiter DetailsNew Venture ConsultantAll Indiahidden_emailhidden_mobile,"Position
Data Analyst

Function/Department
Data Science & Analytics

Years of experience
3-5 Years

Offered Package
4-6 LPA

Qualification
Any Graduate

Job Profile
Candidate having good experience in Data Analysis , data crunching, MIS and data updating to SAP. Expert of MIS, Data Management , data migration from MNC , Bigger corporates.

Age Group
22-32 Years

About Client/Company:
A leading South American MNC Headquartered in Brazill having 25 Globally Office, 8 Offices in Indian Locations into Global Transportation, Supply Chain management. its 5days working day shift job.

Locations
Delhi NCR,",All India,"Data Analysis,MIS,Data Management,Data Migration,Data Crunching,Data Updating to SAP,Expert of MIS",Recruiter DetailsNew Venture ConsultantAll Indiahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/new-venture-consultant/14599789,Hot0 days ago,2024-03-31,"(3, 5)",Actively hiring
Quinnox,Regular,Recruiter DetailsQuinnoxOther Karnatakahidden_emailhidden_mobile,"6 - 10 years

Bangalore/Mumbai

No of Position  2

Please send your resume to the following email address along with Job Title as the subject line to hidden_email

Must have experience of 3-5 Years into Techno Finance Analyst role in Banking Domain

Strong Power BI, Excel and SQL skills required; complementary skills such as Python.

Experience working in Finance/Financial Planning & Analysis/Accounting or relevant field.

Demonstrable experience translating sophisticated business requirements into a functional and detailed process.

Must have strong analytical, problem-solving skills and attention to detail.

Strong and effective communications across multiple levels and multiple functional organizations.

Work well in a multi-functional matrix environment

Contact Us

Get in touch with Quinnox Inc to understand how we can accelerate success for you.

Inquiry*

Services & Solution

Partnership

Employee Verification

Marketing

HCM

General Inquiry

By submitting this form. you hereby agree that we may collect, store and process your data that you provided. Read our Privacy Policy,",Other Karnataka,"Power BI,Excel,SQL,Python",Recruiter DetailsQuinnoxOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/financial-data-analyst-permanent/quinnox/14595685,Hot1 day ago,2024-03-30,"(3, 5)",Actively hiring
GFS INFOTECH PVT LTD,Regular,Recruiter DetailsGFS INFOTECH PVT LTDHyderabadhidden_emailhidden_mobile,"Data Analyst - Onsite*

Exp: 3 - 5 Yrs | Loc : Hyderabad

Edu: Any UG or PG in Relevant Field

Package: Negotiable | Pref: Immediate Joiner

Skills: SQL, Excel, Hadoop, Spark, python

hidden_email

Click to Apply

Job description

Key Responsibilities:

 Analyze the source data and devise a strategy based on the findings. Provide

recommendations based on data analysis to define the transformation process.

 Create source to target system mappings, using the findings on the source data.

 Clean and transform data from various sources to meet business requirements and

timelines.

 Create a data pipeline to transform data for the target system and monitor data quality

for high accuracy.

Required skills & experience:

 In depth understanding of SQL and tools like Excel is a must.

 Experience of working with large datasets, data cleaning operations and modeling data

pipeline using ETL and Data Workflow Tools.

 Ability to analyze the data and come up with insights. to drive improvements.

 Should be aware of agile methodologies.

Desirable but not necessary:

 Proficiency with python is preferable.

 Understanding of big data technologies like spark, hadoop is a plus

Personal Attributes:

 Passionate about Data Problems and Projects. Customer obsession and Project

Execution, Management and Ownership.

 Abstract thinking ability and loves dealing with ambiguous/undefined problems.

 Strong analytical & problem solving skills

 Excellent communication & collaboration skills

 Excellent time management & the ability to assume leadership role when necessary

 Quick learner

 Out of the box thinker

Benefits of working with us:

 Get Hands On experience in cutting-edge technology environment

 Provision of Lunch & Dinner facilities at work

 Medical benefits to take care of your health

 Challenging real-world problems to solve

 Freedom to decide how to perform your work

 A culture of continuous learning to aid progression

 Training and development to help you excel in your career,",Hyderabad+1Other Telangana,"SQL,Excel,Hadoop,Spark,python",Recruiter DetailsGFS INFOTECH PVT LTDHyderabadhidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-onsite-permanent/gfs-infotech-pvt-ltd/14606252,Hot1 day ago,2024-03-30,"(3, 5)",Actively hiring
Equifax,Regular,Recruiter DetailsEquifaxOther Maharashtrahidden_emailhidden_mobile,"Synopsis of the role:

As an Informatica Specialist at Equifax, you will play a pivotal role in managing and optimizing our data integration and ETL processes. Your expertise will contribute to the seamless flow of data across various systems, enabling informed decision_making and operational efficiency.

What Youll Do
 Develop, design and implement ETL processes using Informatica PowerCenter to ensure efficient data extraction, transformation and loading.
 Collaborate with cross-functional teams to gather data requirements and translate them into technical specification.
 Monitor and maintain existing ETL workflows, troubleshoot issues and perform necessary optimization.
 Work on data quality and leasing initiatives to ensure accurate and reliable data.
 Participate in the design and development of data warehouse, datamarts and other data storage solutions.
 Stay updated with industry best practices and emerging trends in data integration and ETL.
 We offer a hybrid work. setting, comprehensive compensation and healthcare packages, attractive paid time off, and organizational growth potential through our online learning platform with guided career tracks.

What Experience You Need
 A bachelor's degree in Computer Science, Information Technology or a related field.
 Proven experience of 3-5 years in designing, developing and implementing Automation processes using Pyspark & Hive.
 Strong SQL skills and proficiency in working with relational databases (e.g Oracle, SQL Server, MySQL).
 Solid understanding of data warehousing concepts, data modeling and ETL best practices.
 Experience in performance tuning, troubleshooting and debugging ETL process.
 Excellent problem-solving skills and ability to work effectively in collaborative team environment.
 Strong communication skills to interact with technical and non-technical stakeholders.

What Could Set You Apart
 Previous exposure to cloud-based data integration using Informatica Cloud or other cloud ETL tools.
 Experience with Big Data technologies (Hadoop, Spark) and NoSQL databases.
 Knowledge of Data Privacy regulation and best practices for handling sensitive data.
 History of leading successful ETL projects from design to implementation.
 Strong analytical skills for data profiling, data mapping and data assessment,",Other Maharashtra,"Informatica PowerCenter,ETL,Data extraction,Data transformation,Data loading,SQL,Relational databases,Data warehousing,Data modeling,Performance tuning,Troubleshooting,Debugging,Data profiling,Data mapping,Data assessment,Problemsolving,Cloudbased data integration,Big Data technologies,NoSQL databases,Data Privacy regulation",Recruiter DetailsEquifaxOther Maharashtrahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/equifax/14511722,1 week ago,2024-03-30,"(3, 5)",hiring
Trigent Software Inc,Regular,Recruiter DetailsTrigent Software IncOther Gujarathidden_emailhidden_mobile,"Sr. Data Analyst @ Ahmedabad

Skills:

Minimum 3 years (BFSI Domain)

SQL is must, PowerBI / Tableau anything would be fine.
 Sr Consultant Data Analyst @ Ahmedabad

Skills:

Minimum 5 years, (BFSI minimum 2 years is must)

Sr. Consultant  Data Analyst must and should have experience working with Banking domain with SQL and PowerBI, Team handling, logical reasoning, statistical modelling and experience working with Analytics.,",Other Gujarat+1Ahmedabad,"SQL,Tableau,Team handling,Analytics,PowerBI,Logical reasoning,Statistical modelling",Recruiter DetailsTrigent Software IncOther Gujarathidden_emailhidden_mobile,https://www.shine.com/jobs/senior-data-analyst-permanent/trigent-software-inc/14599203,Hot0 days ago,2024-03-31,"(3, 5)",Actively hiring
Chadwick Professional Services,Regular,Recruiter DetailsChadwick Professional ServicesOther Karnatakahidden_emailhidden_mobile,"Company Description

Chadwick Professional Services is a leading provider of IT Permanent and Temporary Staffing, Leadership/Executive Hiring, Recruitment Process Outsourcing (RPO) Services, and Market Insight. Based in Bengaluru, Chadwick is committed to delivering innovative solutions to its clients and has secured approval from MSME and Start-up India for its service offerings.

Role Description

This is a full-time on-site role as a Data Analyst at Chadwick Professional Services in Bengaluru. The Data Analyst will be responsible for performing data analysis, utilizing statistical techniques, and creating data models. The analyst will also communicate the findings effectively to stakeholders and assist in decision-making processes.

Qualifications
 3 - 5 years of experience in Data Analytics.
 Data Analytics, Analytical Skills, and Statistics
 Excellent communication skills
 Data Modeling
 Strong problem-solving and critical thinking abilities
 Proficiency in data analysis. tools and programming languages
 Experience with data visualization
 Attention to detail and accuracy
 Bachelor's degree in a related field (such as Statistics, Mathematics, or Computer Science,",Other Karnataka,"Data Analytics,Analytical Skills,Statistics,Data Modeling,Data visualization,Programming languages",Recruiter DetailsChadwick Professional ServicesOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/chadwick-professional-services/14546279,7 days ago,2024-03-24,"(3, 5)",hiring
Titan Company,Regular,Recruiter DetailsTitan CompanyOther Karnatakahidden_emailhidden_mobile,"Vacancy Details.

:

The role is responsible for development & implementation of robust system to identify any potential risks or

irregularities related to compliance with laws and regulations, as well as internal control procedures within

Jewellery Division.

Job Responsibilities:

Development and Implementation of a Robust System to analysing the probable risks in Commercial

Transactions

Analyzing and evaluating potential risks related to compliance and control within the organization's

commercial operations, such as regulatory noncompliance, fraud, operational inefficiencies.

Gathering and analysing data of various systems, including OCG/internal audits reports, customer

complaints to identify patterns, trends, and areas of concern related to compliance and control risks.

Monitoring adherence to internal policies, procedures, and external regulations to ensure compliance,

identifying gaps and recommending corrective actions to mitigate risk and ensure. compliance.

Conducting risk assessments and mapping potential risks to prioritize and develop strategies for

managing and mitigating compliance and control risks

Collaborating with commercial, system & legal teams to develop and update internal policies,

procedures, and guidelines related to compliance and control risks, ensuring alignment with applicable

laws and regulations.

Identifying areas for process improvement to enhance efficiency and effectiveness in managing

compliance and control risks, proposing and implementing solutions, and monitoring the impact of

process changes.

Education CA/MBA/CMA

Relevant

Experience 3-5 years of relevant experience

Skills

1. Proven analytics skills, including mining, evaluation, and visualization.

2. Technical writing experience in relevant areas, including queries, reports, and presentations.

3. Strong SQL or Excel skills, with aptitude for learning other analytics tools.

4. Knowledge of Power BI, Alteryx tools will be added advantage.

5. 3 or more years of experience mining data as a data analyst.

Key Skills,",Other Karnataka,"Technical writing,SQL,Excel,Power BI,Alteryx,Proven analytics skills",Recruiter DetailsTitan CompanyOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-store-controls-and-risk-management-jewellery-permanent/titan-company/14576652,4 days ago,2024-03-27,"(3, 5)",hiring
Wipro Digital Operations and Platforms,Regular,Recruiter DetailsWipro Digital Operations and PlatformsOther Haryanahidden_emailhidden_mobile,"MIS Analyst/Data Analyst-B2
 Job Location : Gurgaon
 Experience : 3-5 Years
 05 Days week- Both side Transport
 Shift Timing : Candidate should be flexible to work in Day & Night both.

We are looking for experience with SQL, VBA, Power BI, Coding, Automation, Macros, Dashboards

(Strong knowledge with SQL & VBA is must)

Analytical & Database Management Skills

 Advanced Excel, SQL,VBA,

 SQL Scripting / Big Queries / Sub-queries / Joins

 Google technologies such as Google Docs, Spreadsheet, Slides, Datastudio, AppScript

Role Definition

An MIS Analyst provides their respective team with high quality reliable data to support them with management decision-making and provides its stakeholders with regular timely and accurate updates, statistical analysis and management reporting

Roles and Responsibilities

Responsible for managing the performance for the team of associates. Motivating associates through effective management and constructive feedback

- Responsible to. independently handle, assist the customer to determine problems and provide resolutions on any customer care issues & service problems, coordinate escalations, assess customers needs

- Responsible for analysis of reports including process dashboards, team performance reports, initiating appropriate action plans & initiate trainings

- Responsible to manage attendance & attendance incentive for the team. Managing periodic shift level projects/initiatives & responsible for the administrative aspects of the group/shift

- Should be capable of handling client escalations

Knowledge Must Have

Strong analytical skills along with problem solving capabilities

Designing solution for complex MIS reporting and automation

Strong understanding of basic metrics of transaction processing operations Good to have

Working knowledge of SQL or any other database management system

Google technologies such as Google Docs, Spreadsheet, Slides, Datastudio, AppScript Experience

Must Have

3 - 5 year of relevant experience in working with transaction processing account and handling MIS for the same Behavioral Skills and Attributes - Good working knowledge of computer i.e., MS-Office, Operating Systems, internet services & Online tools.

- Excellent verbal & written communication & presentation skills.

- Good Interpersonal & people management skills with good problem solving approach.

- Expert knowledge of service procedures

- Good analytical skills for MIS, number crunching & reporting to internal & external customers.

- Ability to exercise managerial judgment and perform as a mentor.

- Knowledge of Voice reporting systems is mandatory

Looking for Immediate joiners or who can join within 15-20 days.

Note : Interested candidates can share their CV's directly at hidden_email,",Other Haryana,"SQL,VBA,Power BI,Coding,Automation,Macros,Dashboards,Advanced Excel,SQL Scripting,Joins,Google Docs,Big Queries,Subqueries,Spreadsheet,Slides,Datastudio,AppScript",Recruiter DetailsWipro Digital Operations and PlatformsOther Haryanahidden_emailhidden_mobile,https://www.shine.com/jobs/mis-analystdata-analyst-b2-permanent/wipro-digital-operations-and-platforms/14596559,Hot1 day ago,2024-03-30,"(3, 5)",Actively hiring
Toluna,Regular,Recruiter DetailsTolunaOther Haryanahidden_emailhidden_mobile,"Data Analyst/ Sr. Data Analyst

Toluna India, Gurugram

About Us:

Toluna delivers real-time consumer insights at the speed of the on-demand economy. By combining global scale and local expertise with innovative technology and award-winning research design, we help clients explore tomorrow, now.

Toluna is the parent company of Harris Interactive Europe and KuRunData. Together, we strive to push the field of market research toward a better tomorrow.

To deliver a high quality product and service in committed timelines in order to meet the client's expectations.

Responsibilities:
 Ensuring smooth running of project assigned, Meeting the committed timelines while maintaining a high quality standards, as defined in the annual MBOs
 Participates in client calls/meetings autonomously.
 Take ownership & Work independently on projects with complexity 1-5, ensuring a high level of service quality
 Complete Knowledge & Hands-on experience of Data validation, cleaning, re-coding. formatting, merging and restructuring, integrating Open ended coding, Tables, weighting using Quantum and SPSS
 First time right delivery on each project
 Update time card day by day in order to have an accurate image of the workload for the past/next period
 Keeps the project manager updated with the progress on the DP tasks
 Report data inconsistencies, if any, until everything is correct before giving the go ahead for full launch.
 Escalate any outstanding issue to Team leader as soon as identified.
 Serves as front line support in operational issues for less experienced staff

Required skill set:
 Effective Communication skill (oral, written and presentation)
 Ability to work independently and Proficiency in Quantum scripting, SPSS and Excel
 Good knowledge of Tabulation, weighting at least for complexity level 1-5 studies.
 Good understanding of Basic & Advanced Statistical concepts
 Excellent analytical, problem solving, organization skills
 Strong interpersonal skill to develop quick rapport in a team setting and establish solid credibility with colleagues and cross functional teams
 Flexible to work in night shifts
 Good knowledge of advanced Statistical concepts (Correlation, Regression, ANOVA,.)
 Any Graduate (preferably with computer, Mathematics and statistics background).
 3 - 6 yrs of demonstrative Data Processing experience and hands-on experience on Quantum & SPSS.

What we offer:

At Toluna you will find an exciting and multicultural place to work. We employ the best and the brightest in our industry and we are always looking for rising stars to join our team. We are proud of our staff members and we offer competitive salaries, a wide range of benefits and the chance to progress your career within a truly global organization.

Other benefits:

Professional & Personal growth: Learning opportunities and career development

Salary and Benefits: Competitive salary, performance bonus

Health: Medical Insurance

Transport: Both side company transport

Join our global team. We welcome big thinking and reward great work,",Other Haryana,"Effective Communication,SPSS,Excel,Weighting,Statistical concepts,Analytical skills,Problem solving,Organization skills,Interpersonal skills,Quantum scripting,Tabulation",Recruiter DetailsTolunaOther Haryanahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-srdata-analyst-permanent/toluna/14548511,7 days ago,2024-03-24,"(3, 6)",hiring
Screen Magic Mobile Media Pvt. Ltd.,Regular,Recruiter DetailsScreen Magic Mobile Media Pvt. Ltd.Other Maharashtrahidden_emailhidden_mobile,"Role: Data Analyst - SaaS Industry Only

Position Overview:

As a data analyst, you will take responsibility for managing our data set, developing reports, and troubleshooting data issues.

Additionally, you will lead initiatives to empower and educate our users with Self-Serve analytics to realize our goal of building a robust data-driven culture.

To do well in this role, you need an excellent eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases.

Key Responsibilities:
 Ensures that data is accurate, complete, and consistent.
 Implement processes and procedures to monitor, assess, and improve data quality.
 Monitor data sources and ensure that data is appropriately entered, stored, and maintained to ensure accuracy and reliability.
 Work with other departments to identify data trends and patterns that support the organizations objectives. This will include using data visualization tools like dashboards and. charts to help identify trends and insights
 Collaborate with stakeholders to define and implement data analytics and reporting capabilities to support business decision-making processes

Qualifications and Skills:
 Bachelor's degree in computer science, information systems, or a related field.
 Proven experience of 3 to 6 years in data analysis and MIS reporting systems
 Proficiency in Power BI tool,SQL Query, MS Excel or Google Spreadsheets
 Demonstrated experience in handling large data sets and relational databases, technical expertise in data storage structures, data mining, and data cleansing
 Strong knowledge of data analysis methods, tools, and best practices
 Experience working with and creating databases and dashboards using all relevant data to make informed decisions.
 Experience in CRM systems and the SaaS industry is a big plus.
 Strong communication and interpersonal skills, with the ability to effectively communicate technical concepts to non-technical stakeholders.
 Take ownership and communicate proactively.

lK7WadabfB,",Other Maharashtra+1Pune,"data analysis,Power BI,MS Excel,data mining,data cleansing,databases,dashboards,communication,interpersonal skills,MIS reporting systems,SQL Query,Google Spreadsheets,data storage structures,data analysis methods,CRM systems,SaaS industry",Recruiter DetailsScreen Magic Mobile Media Pvt. Ltd.Other Maharashtrahidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/screen-magic-mobile-media-pvt-ltd/14585647,Hot2 days ago,2024-03-29,"(3, 6)",Actively hiring
FourthSquare,Regular,Recruiter DetailsFourthSquareChennaihidden_emailhidden_mobile,"Data Analyst for Samsung

Onsite- Chennai

Job description: This role within Corporate Marketing is focused on providing insights on marketing - including channel performance, discount strategy evaluation, customer retention.

Data Strategy team goals include:

 Enabling customer-centric experiences and journeys for our customers

 Driving efficiency and efficacy of loyalty and onboarding automations

 Building capability and equity of our Owned Media platforms

This role will support Driving efficiency and efficacy of the post purchase discount program.

Background:

 Bachelors Degree in a quantitative field (Mathematics, Engineering, Operations Research, Statistics) required. Masters Degree highly preferred

 6 + years of experience in analytics and hypothesis testing and reporting to leadership

 4+ years of experience in marketing, operations or related field in a quantitative/analytics role

 4+ years of experience building data visualizations using tools like Tableau. and excel

 3+ years of experience designing A/B tests to drive data-driven decision making in fast-paced environments

 Strong SQL writing skills to analyze data in bigdata and other databases, Hadoop, Postgres, Elasticsearch

 Hands on experience with Data Engineering tools including Hive, Impala

 Hands-on experience on R or Python programming languages to test efficacy of Data Science Models

 Experience of working with Data Scientists to build data science and machine learning models and designing data pipelines to productionize these models

 Working knowledge of Predictive Modeling and other ML frameworks

 Experience working with Data Scientists, Engineers and BI developers to build visualization tools necessary to capture business results

 Direct experience developing customer data in e-commerce, technology, mobile or consumer electronics industries required

 Solid understanding of digital marketing fundamentals

 Experience building web applications and good understanding of react, JavaScript, NodeJS

 Very strong analytical skills

 Irrepressible intellectual curiosity, boldness, and honesty

 Self-starter mentality with the ability to deliver results

 Succinct, proactive communication- translate data analytics into business solutions

 Proven experience in managing multiple tasks simultaneously with a rigid determination to meet deadlines

 Comfortable to work with people from a broad range of backgrounds from highly technical to marketing to sales/business

Responsibilities:

As a member of the post purchase discount team, this role will take support over business-critical projects to create sustainable data products and provide actionable insights to drive e-Store and drive post purchase loyalty. This is a technical and functional role which requires understanding of leading Data Science technology, Big data and business intelligence (BI) platforms, knowledge of data analytics tools, as well as business and industry domain knowledge.

 Work with client stakeholders, engineering, data science, platform teams and business partners to analyze customer and product data, provide customer insights

 Building the initial tracking/report for new initiatives

 Set up tests to analyze channel, discount performance

 Set up web analytics dashboards

 Ad-hoc data pulls

 Coordinate with strategy and operations teams to receive tracking parameters

 Maintain dashboard codebase,",Chennai+1Other Tamil Nadu,"SQL,Tableau,R,Python,Data Engineering,Hive,Impala,Predictive Modeling,JavaScript,Data Visualization,Digital Marketing,Web Applications,Big Data,ML frameworks,React,NodeJS,Data Science Models,Data Pipelines,BI platforms,Data Analytics Tools",Recruiter DetailsFourthSquareChennaihidden_emailhidden_mobile,https://www.shine.com/jobs/data-analyst-permanent/fourthsquare/14512634,1 week ago,2024-03-30,"(3, 6)",hiring
Delta Air Lines,Regular,Recruiter DetailsDelta Air LinesOther Karnatakahidden_emailhidden_mobile,"Job Summary:

The Global Health & Wellness Analytics group is seeking a Senior Data Analyst responsible for wrangling, harmonizing, and analyzing various disparate data sources. The successful candidate will have a keen understanding of healthcare claims data, a willingness to uncover insights from complex data, and strong communication skills in order to collaborate with multiple team members.

Additionally, they must be willing and able to find and implement potential solutions when minimal documentation or resources are readily available. The role will work closely with data engineers, analysts, and operational collaborators to validate medical data, create disease and screening cohorts, deliver curated datasets, and provide health insights via descriptive statistics, contingency tables, and basic statistical analyses (eg: Logistic regression).

Responsibilities include, but are not limited to:

Clean and validate healthcare claims:
 Candidates will leverage tools such as SQL, R. and/or python to pull large amounts of healthcare claims data.
 The candidate will comb through these claims to ensure validity of claims, build cohorts, identify outcomes of interest, and perform basic statistical analyses.

Create curated tables of data:
 Candidates will be able to integrate and harmonize multiple disparate data sources to build curated tables for analytic purposes.
 For example, the candidate will combine claim records, Delta employee surveys, and Delta specific performance metrics to build a functional longitudinal dataset ready for analysis.

Provide high level insights:
 Candidates will provide insights to team members regarding each data source. These insights may come in the form of descriptive statistics, contingency tables, data visualizations, other summary views, or basic analyses.

Maintain and Document:
 Due to the dynamic nature of healthcare claims and billing, the candidate will be able to keep up to date with changing claim codes, groupings, and definitions.
 These changes will be maintained, detailed (via notes and version control methods such as Git), and communicated amongst team members.

What You Need To Succeed (Minimum Qualifications):
 Strong experience in Healthcare claims data analytics
 3-6 yrs of experience with handling, transforming, and analyzing healthcare claims data.
 Bachelors degree in data science, statistics, mathematics, computer science or engineering
 Strong command of data transformation skills using tools such as SQL, R, or Python amongst multiple disparate data sources.
 Strong relational database skills (SQL Server, Redshift, Alteryx or other)
 Experience in AWS environment with tools such as Glue, lambda, or Sagemaker
 High attention to detail, solution-oriented and capable of meeting or exceeding deadlines in a fast-paced environment
 Ability to problem solve within a team, as well as independently,",Other Karnataka,"SQL,R,Python,Data transformation,Glue,Healthcare claims data analytics,Relational database skills,AWS environment,Lambda,Sagemaker",Recruiter DetailsDelta Air LinesOther Karnatakahidden_emailhidden_mobile,https://www.shine.com/jobs/senior-data-analyst-t-permanent/delta-air-lines/14585332,Hot2 days ago,2024-03-29,"(3, 6)",Actively hiring
